Date,Open,High,Low,Close,Adj Close,Volume
2022-08-19,4291.0,4309.4501953125,4120.0,4135.35009765625,4129.77197265625,719126
2022-08-22,4133.0,4133.0,3995.60009765625,4024.89990234375,4019.470703125,723542
2022-08-23,4024.800048828125,4093.449951171875,3987.85009765625,4070.949951171875,4065.45849609375,497236
2022-08-24,4079.0,4220.0,4077.949951171875,4210.75,4205.06982421875,956039
2022-08-25,4215.0,4239.85009765625,4156.7001953125,4168.7998046875,4163.17626953125,414795
2022-08-26,4207.0,4235.75,4156.2001953125,4215.25,4209.56396484375,342452
2022-08-29,4100.0,4272.0,4086.0,4251.5,4245.76513671875,914112
2022-08-30,4251.5,4337.5,4233.2001953125,4322.89990234375,4317.06884765625,848217
2022-09-01,4298.0,4328.9501953125,4244.0,4277.14990234375,4271.38037109375,390072
2022-09-02,4309.7998046875,4398.0,4284.0,4312.35009765625,4306.533203125,735146
2022-09-05,4282.0,4308.60009765625,4233.0,4282.5498046875,4276.77294921875,522750
2022-09-06,4298.89990234375,4422.0,4291.75,4415.5,4409.5439453125,1078704
2022-09-07,4379.2001953125,4410.0,4335.0,4376.5,4370.5966796875,396347
2022-09-08,4400.0,4444.89990234375,4361.0,4414.7998046875,4408.8447265625,562760
2022-09-09,4436.89990234375,4474.89990234375,4415.0,4460.35009765625,4454.33349609375,476210
2022-09-12,4473.0,4501.7998046875,4447.0498046875,4481.60009765625,4475.5546875,331303
2022-09-13,4520.0,4520.0,4466.2998046875,4490.10009765625,4484.04345703125,309270
2022-09-14,4405.35009765625,4480.0,4405.35009765625,4427.60009765625,4421.62744140625,362669
2022-09-15,4449.75,4459.14990234375,4328.0498046875,4341.85009765625,4335.9931640625,427750
2022-09-16,4342.0,4363.2998046875,4257.0,4279.75,4273.97705078125,458526
2022-09-19,4295.89990234375,4331.0,4226.7001953125,4308.2001953125,4302.388671875,266140
2022-09-20,4316.5,4595.0,4316.5,4559.35009765625,4553.19970703125,1173769
2022-09-21,4556.0,4668.5,4556.0,4604.7998046875,4598.58837890625,1177984
2022-09-22,4569.5498046875,4631.2001953125,4522.2001953125,4608.89990234375,4602.68310546875,511789
2022-09-23,4610.0,4719.0,4382.85009765625,4418.4501953125,4412.490234375,1205497
2022-09-26,4418.4501953125,4420.4501953125,4191.10009765625,4282.7001953125,4276.92333984375,843901
2022-09-27,4335.0,4354.10009765625,4205.0,4242.9501953125,4237.22705078125,651304
2022-09-28,4229.0,4295.0,4183.10009765625,4268.9501953125,4263.19189453125,395837
2022-09-29,4297.4501953125,4404.64990234375,4284.9501953125,4391.7001953125,4385.7763671875,631907
2022-09-30,4352.2001953125,4484.89990234375,4352.2001953125,4383.39990234375,4377.4873046875,761064
2022-10-03,4385.0,4490.0,4350.9501953125,4365.2001953125,4359.31201171875,454169
2022-10-04,4430.0,4444.5498046875,4365.2001953125,4404.39990234375,4398.458984375,307009
2022-10-06,4426.4501953125,4450.0,4361.2998046875,4390.5,4384.57763671875,272050
2022-10-07,4379.60009765625,4433.0,4353.5498046875,4394.10009765625,4388.1728515625,501530
2022-10-10,4375.0,4420.0,4295.0,4340.60009765625,4334.7451171875,207878
2022-10-11,4362.35009765625,4362.35009765625,4263.64990234375,4275.5498046875,4269.7822265625,258216
2022-10-12,4280.0,4350.0,4245.0,4287.0498046875,4281.26708984375,621343
2022-10-13,4270.10009765625,4317.9501953125,4236.0,4266.0498046875,4260.29541015625,277038
2022-10-14,4301.0,4324.0,4264.0498046875,4297.14990234375,4291.353515625,254366
2022-10-17,4290.0,4300.5498046875,4221.0498046875,4290.85009765625,4285.06201171875,254734
2022-10-18,4325.0,4377.0,4258.0,4366.0,4360.11083984375,387469
2022-10-19,4380.0,4405.89990234375,4341.10009765625,4388.75,4382.830078125,249672
2022-10-20,4384.0,4393.2998046875,4295.2001953125,4322.5,4316.66943359375,370651
2022-10-21,4344.14990234375,4430.0,4322.7001953125,4389.0498046875,4383.12939453125,364601
2022-10-24,4410.2001953125,4435.0,4320.0,4410.14990234375,4404.201171875,30919
2022-10-25,4437.7998046875,4449.89990234375,4372.0,4404.0498046875,4398.10888671875,474364
2022-10-27,4445.0,4499.0,4402.85009765625,4431.85009765625,4425.8720703125,421237
2022-10-28,4454.25,4584.0,4415.0,4567.0,4560.83935546875,691801
2022-10-31,4582.10009765625,4625.0,4491.5,4517.5,4511.40625,433481
2022-11-01,4577.0,4647.0,4470.0,4511.35009765625,4505.2646484375,866656
2022-11-02,4512.0,4532.7998046875,4370.0,4383.10009765625,4377.1875,643118
2022-11-03,4370.0,4425.0,4349.35009765625,4395.0,4389.0712890625,457168
2022-11-04,4410.0,4410.0,4340.0498046875,4362.60009765625,4356.71533203125,669679
2022-11-07,4384.4501953125,4420.0,4336.4501953125,4363.7998046875,4357.91357421875,356178
2022-11-09,4347.0,4435.0,4344.0,4361.2001953125,4355.3173828125,378028
2022-11-10,4374.5,4377.4501953125,4250.0,4285.4501953125,4279.66943359375,527721
2022-11-11,4386.0,4540.0,4330.0498046875,4421.39990234375,4415.43603515625,1685313
2022-11-14,4430.0,4568.0,4425.2001953125,4556.7001953125,4550.5537109375,886587
2022-11-15,4560.0,4629.0,4527.0,4611.9501953125,4605.72900390625,492794
2022-11-16,4605.0,4610.0,4461.0,4479.25,4473.2080078125,499585
2022-11-17,4490.0,4515.9501953125,4370.7001953125,4400.2998046875,4394.3642578125,430622
2022-11-18,4430.0,4449.0,4320.0,4399.14990234375,4393.2158203125,385705
2022-11-21,4403.9501953125,4440.0,4341.0,4418.85009765625,4412.8896484375,336664
2022-11-22,4420.9501953125,4480.0,4380.0,4469.7998046875,4463.7705078125,310657
2022-11-23,4482.2998046875,4616.14990234375,4448.0,4605.2001953125,4598.98828125,799422
2022-11-24,4630.0,4833.0,4614.0,4815.0498046875,4808.5546875,1822610
2022-11-25,4815.0,4885.0,4751.0498046875,4789.4501953125,4782.98974609375,1069669
2022-11-28,4761.0,4768.85009765625,4683.25,4721.85009765625,4715.48095703125,598162
2022-11-29,4725.0,4842.0,4707.64990234375,4719.2001953125,4712.83447265625,910558
2022-11-30,4719.2001953125,4760.10009765625,4642.60009765625,4726.39990234375,4720.0244140625,1113421
2022-12-01,4765.0,4794.0,4701.0498046875,4775.7001953125,4769.25830078125,611403
2022-12-02,4771.0,4882.9501953125,4743.0498046875,4871.4501953125,4864.87890625,996306
2022-12-05,4885.0,4901.9501953125,4766.9501953125,4778.35009765625,4771.904296875,684834
2022-12-06,4770.35009765625,4800.0,4715.0,4788.0498046875,4781.59130859375,354855
2022-12-07,4804.7001953125,4815.0,4710.89990234375,4727.39990234375,4721.02294921875,354913
2022-12-08,4738.0,4777.85009765625,4681.39990234375,4704.5,4698.15380859375,336491
2022-12-09,4728.0,4735.9501953125,4675.25,4685.10009765625,4678.7802734375,271785
2022-12-12,4677.0,4756.0,4630.0,4742.2998046875,4735.90283203125,445259
2022-12-13,4746.0,4761.35009765625,4661.2998046875,4678.85009765625,4672.53857421875,363818
2022-12-14,4712.0,4712.0,4656.60009765625,4666.14990234375,4659.85546875,356293
